OP;ODP;PEZZI ;DATA;ORA START;ORA STOP;SECONDI;CICLO;WEEKNUM;;;WEEK;SOMMA;MINUTI ;ORE / SETTIMANA;ORE GIORNO (5 GG LAV.);MEDIA ORE GIORNO 
OP000008;9999001;1;21/06/2023;12:39:43;12:55:59;976;976;25;;;;;;;;
OP000035;9999001;1;21/06/2023;14:44:00;14:53:26;566;566;25;;;;;;;;
OP000035;9999001;1;21/06/2023;15:45:37;16:02:10;993;993;25;;;;;;;;
OP000035;9999001;1;21/06/2023;17:21:39;17:30:03;504;504;25;;;;;;;;
OP000008;9999001;1;22/06/2023;07:02:33;08:17:16;4483;4483;25;;;;;;;;
OP000036;9999001;1;22/06/2023;07:27:20;08:24:33;3433;3433;25;;;;;;;;
OP000035;9999001;1;22/06/2023;08:01:26;09:17:54;4588;4588;25;;;;;;;;
OP000035;9999001;1;22/06/2023;10:09:42;10:21:21;699;699;25;;;;;;;;
OP000035;9999001;1;22/06/2023;10:53:05;10:58:44;339;339;25;;;;;;;;
OP000035;9999001;1;22/06/2023;11:39:43;11:47:08;445;445;25;;;;;;;;
OP000008;9999001;1;22/06/2023;12:50:04;13:04:50;886;886;25;;;;;;;;
OP000035;9999001;1;22/06/2023;13:26:27;13:31:35;308;308;25;;;;;;;;
OP000035;9999001;1;22/06/2023;14:21:27;14:30:32;545;545;25;;;;;;;;
OP000035;9999001;1;22/06/2023;15:09:06;15:16:39;453;453;25;;;;;;;;
OP000036;9999001;1;22/06/2023;16:00:31;16:50:15;2984;2984;25;;;;;;;;
OP000008;9999001;1;23/06/2023;06:59:59;09:14:37;8078;8078;25;;;;;;;;
OP000036;9999001;1;26/06/2023;15:24:38;15:33:28;530;530;26;;;;;;;;
OP000036;9999001;1;26/06/2023;16:08:50;16:14:25;335;335;26;;;;;;;;
OP000036;9999001;1;26/06/2023;16:58:24;17:08:23;599;599;26;;;;;;;;
OP000008;9999001;1;27/06/2023;06:59:20;09:02:04;7364;7364;26;;;;;;;;
OP000035;9999001;1;27/06/2023;08:06:41;09:28:44;4923;4923;26;;;;;;;;
OP000035;9999001;1;27/06/2023;10:13:14;10:35:28;1334;1334;26;;;;;;;;
OP000035;9999001;1;27/06/2023;11:54:59;11:59:13;254;254;26;;;;;;;;
OP000008;9999001;1;27/06/2023;12:55:00;13:16:37;1297;1297;26;;;;;;;;
OP000031;9999001;1;27/06/2023;16:38:51;16:49:39;648;648;26;;;;;;;;
OP000031;9999001;1;27/06/2023;17:20:27;17:28:16;469;469;26;;;;;;;;
OP000031;9999001;1;28/06/2023;08:00:47;08:40:33;2386;2386;26;;;;;;;;
OP000036;9999001;1;28/06/2023;08:00:08;09:09:56;4188;4188;26;;;;;;;;
OP000033;9999001;1;28/06/2023;07:58:57;09:10:07;4270;4270;26;;;;;;;;
OP000033;9999001;1;28/06/2023;11:03:55;11:48:01;2646;2646;26;;;;;;;;
OP000033;9999001;1;28/06/2023;13:31:13;13:51:43;1230;1230;26;;;;;;;;
OP000033;9999001;1;28/06/2023;15:22:38;15:42:00;1162;1162;26;;;;;;;;
OP000033;9999001;1;28/06/2023;16:59:24;17:33:29;2045;2045;26;;;;;;;;
OP000008;9999001;1;29/06/2023;06:55:32;08:15:46;4814;4814;26;;;;;;;;
OP000008;9999001;1;29/06/2023;14:13:30;14:26:14;764;764;26;;;;;;;;
OP000035;9999001;1;29/06/2023;16:43:11;16:53:58;647;647;26;;;;;;;;
OP000035;9999001;1;29/06/2023;17:21:53;17:27:26;333;333;26;;;;;;;;
OP000008;9999001;1;30/06/2023;07:11:12;08:52:04;6052;6052;26;;;;;;;;
